בראשית|50
שמות|40
ויקרא|27
במדבר|36
דברים|34
יהושע|24
שופטים|21
שמואל א|31
שמואל ב|24
מלכים א|22
מלכים ב|25
ישעיהו|66
ירמיהו|52
יחזקאל|48
הושע|14
יואל|4
עמוס|9
עבדיה|1
יונה|4
מיכה|7
נחום|3
חבקוק|3
צפניה|3
חגי|2
זכריה|14
מלאכי|3
דברי הימים א|29
דברי הימים ב|36
תהלים|150
איוב|42
משלי|31
רות|4
שיר השירים|8
קהלת|12
איכה|5
אסתר|10
דניאל|12
עזרא|10
נחמיה|13
